Strain;Host source;host health;accession number;type
SESURV_p3_1362;Skin;Healthy;GCA_011307695.1;commensal
SESURV_p1_1200;Skin;Healthy;GCA_011307595.1;commensal
SESURV_p3_0825;Skin;Healthy;GCA_011307475.1;commensal
SESURV_p2_0614;Skin;Healthy;GCA_011307235.1;commensal
SESURV_p1_0563;Skin;Healthy;GCA_011306775.1;commensal
SESURV_p1_0557;Nasal;Healthy;GCA_011306595.1;commensal
VSE43;Skin;Healthy;GCA_003956905.1;commensal
VSE44;Skin;Healthy;GCA_003980205.1;commensal
VSE46;Skin;Healthy;GCA_003956995.1;commensal
VSE47;Skin;Healthy;GCA_003956955.1;commensal
VSE54;Skin;Healthy;GCA_003956855.1;commensal
VSE56;Skin;Healthy;GCA_003980255.1;commensal
VSE58;Skin;Healthy;GCA_003957035.1;commensal
VSE37;Skin;Healthy;GCA_003956755.1;commensal
VSE39;Skin;Healthy;GCA_003956885.1;commensal
VSE41;Skin;Healthy;GCA_003956805.1;commensal
VSE3;Skin;Healthy;GCA_003979715.1;commensal
SE35;Skin;Healthy;GCA_003979795.1;commensal
SE42;Skin;Healthy;GCA_003979875.1;commensal
SE47;Skin;Healthy;GCA_003980095.1;commensal
SE49;Skin;Healthy;GCA_003979955.1;commensal
SE56;Skin;Healthy;GCA_003980185.1;commensal
SE57;Skin;Healthy;GCA_003980195.1;commensal
SE43;Skin;Healthy;GCA_003979885.1;commensal
SE39;Nasal;Healthy;GCA_003979805.1;commensal
SE40;Nasal;Healthy;GCA_003980055.1;commensal
SE48;Nasal;Healthy;GCA_003979905.1;commensal
SE52;Nasal;Healthy;GCA_003979975.1;commensal
SE53;Nasal;Healthy;GCA_003979985.1;commensal
CDC121;Skin;Unsure;GCA_003856455.1;commensal
HD33;Skin;Diseased;GCA_006337225.1;pathogen
HD43;Skin;Diseased;GCA_006337205.1;pathogen
HD66;Skin;Diseased;GCA_006337185.1;pathogen
O47;Skin;Unsure;GCA_013317125.1;commensal
ST14;Skin;Unsure;GCA_001298115.1;commensal
SK135;Skin;Unsure;GCA_000177115.1;commensal
MO34;Skin;Unsure;GCA_009932695.1;commensal
MFP04;Skin;Unsure;GCA_014436665.1;commensal
NIHLM001;Skin;Unsure;GCA_000276145.1;commensal
NIHLM008;Skin;Unsure;GCA_000276185.1;commensal
NIHLM070;Skin;Unsure;GCA_000276485.1;commensal
NIHLM061;Nasal;Unsure;GCA_000276445.1;commensal
NIHLM087;Nasal;Unsure;GCA_000276505.1;commensal
NIHLM088;Nasal;Unsure;GCA_000276525.1;commensal
MTCC_3382;Nasal;Unsure;GCA_001412455.1;commensal
CV94;Nasal;Unsure;GCA_002850315.1;commensal
HESS022;Nasal;Colonization;GCA_015070475.1;commensal
HESN035b;Nasal;Colonization;GCA_015070555.1;commensal
NIHLM037;Skin;Unsure;GCA_000276325.1;commensal
NIHLM053;Skin;Unsure;GCA_000276405.1;commensal
AK-612;Skin;Diseased;GCA_004343675.4;pathogen
IRL01;Blood;Diseased;GCA_009685135.1;pathogen
NCCP_16828;Blood;Diseased;GCA_009769125.1;pathogen
DAR1907;Blood;Diseased;GCA_002850315.1;pathogen
SE90;Blood;Diseased;GCA_002749455.1;pathogen
SE95;Blood;Diseased;GCA_002749515.1;pathogen
8400;Blood;Diseased;GCA_000705035.1;pathogen
1457;Device;Diseased;GCA_000705075.1;pathogen
1057;Device;Diseased;GCA_000705055.1;pathogen
94;Blood;Diseased;GCA_004323055.1;pathogen
23;Blood;Diseased;GCA_004323085.1;pathogen
GPR20;Blood;Diseased;GCA_004323075.1;pathogen
SH03_17;Blood;Diseased;GCA_002799485.1;pathogen
SH06_17;Blood;Diseased;GCA_002799565.1;pathogen
SH07_17;Blood;Diseased;GCA_002799425.1;pathogen
SH06_16;Blood;Diseased;GCA_002799505.1;pathogen
NIH04003;Blood;Diseased;GCA_000276005.1;pathogen
NIH05003;Blood;Diseased;GCA_000276025.1;pathogen
NIH06004;Blood;Diseased;GCA_000276045.1;pathogen
NIH08001;Blood;Diseased;GCA_000276065.1;pathogen
NGS-ED-1107;Blood;Diseased;GCA_000966765.1;pathogen
NGS-ED-1109;Blood;Diseased;GCA_000739195.1;pathogen
NGS-ED-1110;Blood;Diseased;GCA_000966815.1;pathogen
NGS-ED-1111;Blood;Diseased;GCA_000966755.1;pathogen
NGS-ED-1118;Blood;Diseased;GCA_000966775.1;pathogen
S12;Blood;Diseased;GCA_004374965.1;pathogen
S09;Blood;Diseased;GCA_004374995.1;pathogen
S21;Device;Diseased;GCA_004374765.1;pathogen
S03;Device;Diseased;GCA_004376155.1;pathogen
S19;Device;Diseased;GCA_004374915.1;pathogen
HESN074B;Blood;Diseased;GCA_015070605.1;pathogen
HESN016B;Blood;Diseased;GCA_015070675.1;pathogen
hHESN103B;Blood;Diseased;GCA_015070395.1;pathogen
HESN038B;Blood;Diseased;GCA_015070585.1;pathogen
HESN090B;Blood;Diseased;GCA_015070735.1;pathogen
C133;Blood;Diseased;GCA_015221215.1;pathogen
C138;Blood;Diseased;GCA_015221365.1;pathogen
12142587;Blood;Diseased;GCA_000304575.1;pathogen
AUH4567;Blood;Diseased;GCA_002156425.1;pathogen
AU12-03;Device;Diseased;GCA_000308395.1;pathogen
I6-23.3;Ocular;Diseased;GCA_900205795.1;pathogen
I6-23.2;Ocular;Diseased;GCA_900205845.1;pathogen
I6-23.1;Ocular;Diseased;GCA_900199525.1;pathogen
C7;Ocular;Diseased;GCA_900199615.1;pathogen
I4_5;Ocular;Diseased;GCA_900205815.1;pathogen
C3;Ocular;Diseased;GCA_900205825.1;pathogen
MRSE_52-2;Respiratory;Healthy;GCA_002307395.1;commensal
HUR103;Respiratory;Unsure;GCA_002850315.1;unknown
NIH051668;Respiratory;Unsure;GCA_000275985.2;unknown
LRKNS083;Respiratory;Colonisation;GCA_001658835.1;unknown
ET-024;Device;Diseased;GCA_000685135.1;pathogen
C10C;Respiratory;Unsure;GCA_000763625.1;unknown
SAM-3;Respiratory;Unsure;GCA_003038655.1;unknown
NIHLM003;Skin;Unsure;GCA_000276165.1;commensal
NIHLM067;Skin;Healthy;GCA_000276465.1;commensal
NIHLM070;Skin;Unsure;GCA_000276485.1;commensal
NIHLM008;Skin;Healthy;GCA_000276185.1;commensal
NIHLM015;Skin;Unsure;GCA_000276205.1;commensal
NIHLM018;Skin;Unsure;GCA_000276225.1;commensal
NIHLM031;Skin;Healthy;GCA_000276245.1;commensal
NIHLM020;Skin;Unsure;GCA_000276265.1;commensal
NIHLM021;Skin;Unsure;GCA_000276285.1;commensal
NIHLM023;Skin;Unsure;GCA_000276305.1;commensal
NIHLM087;Nasal;Healthy;GCA_000276505.1;commensal
NIHLM088;Nasal;Unsure;GCA_000276525.1;commensal
NIHLM095;Skin;Unsure;GCA_000276545.1;commensal
NIHLM037;Skin;Healthy;GCA_000276325.1;commensal
NIHLM039;Skin;Unsure;GCA_000276345.1;commensal
NIHLM040;Skin;Unsure;GCA_000276365.1;commensal
NIHLM049;Skin;Healthy;GCA_000276385.1;commensal
