"Strain","accession","type","candidate_ids","candidate_titles","chosen_id"
"SESURV_p3_1362","PRJNA559376","bioproject","","",""
"SESURV_p1_1200","PRJNA559376","bioproject","","",""
"SESURV_p3_0825","PRJNA559376","bioproject","","",""
"SESURV_p2_0614","PRJNA559376","bioproject","","",""
"SESURV_p1_0563","PRJNA559376","bioproject","","",""
"SESURV_p1_0557","PRJNA559376","bioproject","","",""
"SESURV_p0_312","PRJNA559376","bioproject","","",""
"VSE43","PRJNA348420","bioproject","","",""
"VSE44","PRJNA348422","bioproject","","",""
"VSE46","PRJNA348426","bioproject","","",""
"VSE47","PRJNA348434","bioproject","","",""
"VSE48","PRJNA348435","bioproject","","",""
"VSE49","PRJNA348436","bioproject","","",""
"VSE54","PRJNA348442","bioproject","","",""
"VSE56","PRJNA348443","bioproject","","",""
"VSE58","PRJNA348446","bioproject","","",""
"VSE37","PRJNA348414","bioproject","","",""
"VSE39","PRJNA348415","bioproject","","",""
"VSE41","PRJNA348416","bioproject","","",""
"VSE3","PRJNA291322","bioproject","","",""
"SE35","PRJNA314011","bioproject","","",""
"SE42","PRJNA314011","bioproject","","",""
"SE47","PRJNA314011","bioproject","","",""
"SE49","PRJNA314011","bioproject","","",""
"SE56","PRJNA314011","bioproject","","",""
"SE57","PRJNA314011","bioproject","","",""
"SE43","PRJNA314011","bioproject","","",""
"SE39","PRJNA314011","bioproject","","",""
"SE40","PRJNA314011","bioproject","","",""
"SE48","PRJNA314011","bioproject","","",""
"SE52","PRJNA314011","bioproject","","",""
"SE53","PRJNA314011","bioproject","","",""
"CDC121","PRJNA506797","bioproject","","",""
"HD33","PRJNA546129","bioproject","","",""
"HD43","PRJNA546129","bioproject","","",""
"HD66","PRJNA546129","bioproject","","",""
"O47","PRJNA546513","bioproject","","",""
"ST14","PRJNA289935","bioproject","","",""
"SK135","PRJNA34077","bioproject","","",""
"MO34","PRJDB6506","bioproject","","",""
"MFP04","PRJNA649214","bioproject","","",""
"NIHLM001","PRJNA62387","bioproject","","",""
"NIHLM008","PRJNA62383","bioproject","","",""
"NIHLM070","PRJNA62351","bioproject","","",""
"NIHLM061","PRJNA62355","bioproject","","",""
"NIHLM087","PRJNA62349","bioproject","","",""
"NIHLM088","PRJNA62347","bioproject","","",""
"MTCC 3382","PRJNA293017","bioproject","","",""
"NCTC6513","PRJEB6403","bioproject","","",""
"NCTC10519","PRJEB6403","bioproject","","",""
"CV94","PRJNA308322","bioproject","","",""
"HESS022","PRJNA668279","bioproject","","",""
"HESN035b","PRJNA668279","bioproject","","",""
"NIHLM037","PRJNA62369","bioproject","","",""
"NIHLM053","PRJNA62359","bioproject","","",""
"AK-612","PRJNA525578","bioproject","","",""
"IRL01","PRJNA532483","bioproject","","",""
"NCCP 16828","PRJNA564725","bioproject","","",""
"DAR1907","PRJNA308322","bioproject","","",""
"DAR5907","PRJNA308322","bioproject","","",""
"DAR5908","PRJNA308322","bioproject","","",""
"DAR5909","PRJNA308322","bioproject","","",""
"DAR5153","PRJNA308322","bioproject","","",""
"DAR5988","PRJNA308322","bioproject","","",""
"DAR5954","PRJNA308322","bioproject","","",""
"NCTC13924","PRJEB6403","bioproject","","",""
"SE90","PRJNA412200","bioproject","","",""
"SE95","PRJNA412208","bioproject","","",""
"8400","PRJNA238030","bioproject","","",""
"1457","PRJNA238030","bioproject","","",""
"1057","PRJNA238030","bioproject","","",""
"94","PRJNA504381","bioproject","","",""
"23","PRJNA504381","bioproject","","",""
"GPR20","PRJNA504381","bioproject","","",""
"FDAARGOS_161","PRJNA231221","bioproject","","",""
"FDAARGOS_153","PRJNA231221","bioproject","","",""
"FDAARGOS_157","PRJNA231221","bioproject","","",""
"FDAARGOS_529","PRJNA231221","bioproject","","",""
"SH03_17","PRJNA419705","bioproject","","",""
"SH06_17","PRJNA419711","bioproject","","",""
"SH07_17","PRJNA419710","bioproject","","",""
"SH06_16","PRJNA419706","bioproject","","",""
"NIH04003","PRJNA86759","bioproject","","",""
"NIH05003","PRJNA86761","bioproject","","",""
"NIH06004","PRJNA86763","bioproject","","",""
"NIH08001","PRJNA86765","bioproject","","",""
"NGS-ED-1107","PRJNA255947","bioproject","","",""
"NGS-ED-1109","PRJNA255947","bioproject","","",""
"NGS-ED-1110","PRJNA255947","bioproject","","",""
"NGS-ED-1111","PRJNA255947","bioproject","","",""
"NGS-ED-1118","PRJNA255947","bioproject","","",""
"S12","PRJNA526018","bioproject","","",""
"S09","PRJNA526018","bioproject","","",""
"S21","PRJNA526018","bioproject","","",""
"S03","PRJNA526018","bioproject","","",""
"S19","PRJNA526018","bioproject","","",""
"HESN074B","PRJNA668279","bioproject","","",""
"HESN016B","PRJNA668279","bioproject","","",""
"hHESN103B","PRJNA668279","bioproject","","",""
"HESN038B","PRJNA668279","bioproject","","",""
"HESN090B","PRJNA668279","bioproject","","",""
"C133","PRJNA667485","bioproject","","",""
"C138","PRJNA667485","bioproject","","",""
"MEX86","PRJNA308322","bioproject","","",""
"MCO7","PRJNA308322","bioproject","","",""
"12142587","PRJNA175894","bioproject","","",""
"AUH4567","PRJNA374795","bioproject","","",""
"NCTC11964","PRJEB6403","bioproject","","",""
"AU12-03","PRJNA171207","bioproject","","",""
"I6-23.3","PRJEB21503","bioproject","","",""
"I6-23.2","PRJEB21503","bioproject","","",""
"I6-23.1","PRJEB21503","bioproject","","",""
"C7","PRJEB21503","bioproject","","",""
"I4_5","PRJEB21503","bioproject","","",""
"C3","PRJEB21503","bioproject","","",""
"MRSE 52-2","PRJNA402084","bioproject","","",""
"HUR103","PRJNA308322","bioproject","","",""
"HUR104","PRJNA308322","bioproject","","",""
"ICE25","PRJNA308322","bioproject","","",""
"NIH051668","PRJNA86757","bioproject","","",""
"LRKNS083","PRJNA314440","bioproject","","",""
"ET-024","PRJNA241149","bioproject","","",""
"C10C","PRJNA246628","bioproject","","",""
"SAM-3","PRJNA437720","bioproject","","",""
"NIHLM003","GCA_000276165.1","accession","GCA_000276165.1","","GCA_000276165.1"
"NIHLM067","GCA_000276465.1","accession","GCA_000276465.1","","GCA_000276465.1"
"NIHLM070","GCA_000276485.1","accession","GCA_000276485.1","","GCA_000276485.1"
"NIHLM008","GCA_000276185.1","accession","GCA_000276185.1","","GCA_000276185.1"
"NIHLM015","GCA_000276205.1","accession","GCA_000276205.1","","GCA_000276205.1"
"NIHLM018","GCA_000276225.1","accession","GCA_000276225.1","","GCA_000276225.1"
"NIHLM031","GCA_000276245.1","accession","GCA_000276245.1","","GCA_000276245.1"
"NIHLM020","GCA_000276265.1","accession","GCA_000276265.1","","GCA_000276265.1"
"NIHLM021","GCA_000276285.1","accession","GCA_000276285.1","","GCA_000276285.1"
"NIHLM023","GCA_000276305.1","accession","GCA_000276305.1","","GCA_000276305.1"
"NIHLM087","GCA_000276505.1","accession","GCA_000276505.1","","GCA_000276505.1"
"NIHLM088","GCA_000276525.1","accession","GCA_000276525.1","","GCA_000276525.1"
"NIHLM095","GCA_000276545.1","accession","GCA_000276545.1","","GCA_000276545.1"
"NIHLM037","GCA_000276325.1","accession","GCA_000276325.1","","GCA_000276325.1"
"NIHLM039","GCA_000276345.1","accession","GCA_000276345.1","","GCA_000276345.1"
"NIHLM040","GCA_000276365.1","accession","GCA_000276365.1","","GCA_000276365.1"
"NIHLM049","GCA_000276385.1","accession","GCA_000276385.1","","GCA_000276385.1"
"NIHLM053","GCA_000276405.1","accession","GCA_000276405.1","","GCA_000276405.1"
"NIHLM057","GCA_000276425.1","accession","GCA_000276425.1","","GCA_000276425.1"
"NIHLM061","GCA_000276445.1","accession","GCA_000276445.1","","GCA_000276445.1"
"NIH04008","GCA_000276085.1","accession","GCA_000276085.1","","GCA_000276085.1"
"NIH05001","GCA_000276105.1","accession","GCA_000276105.1","","GCA_000276105.1"
"NIH05005","GCA_000276125.1","accession","GCA_000276125.1","","GCA_000276125.1"
"NIH051475","GCA_000275965.1","accession","GCA_000275965.1","","GCA_000275965.1"
"NIH051668","GCA_000275985.2","accession","GCA_000275985.2","","GCA_000275985.2"
"NIH04003","GCA_000276005.1","accession","GCA_000276005.1","","GCA_000276005.1"
"NIH05003","GCA_000276025.1","accession","GCA_000276025.1","","GCA_000276025.1"
"NIH06004","GCA_000276045.1","accession","GCA_000276045.1","","GCA_000276045.1"
"NIH08001","GCA_000276065.1","accession","GCA_000276065.1","","GCA_000276065.1"
