strain,mecA,sdrG,ica_operon,total_genes_detected
1057,1,1,1,3
12142587,0,1,1,2
1457,0,1,1,2
23,1,1,0,2
8400,0,1,1,2
94,1,1,0,2
AK-612,1,1,1,3
AU12-03,0,1,0,1
AUH4567,0,1,1,2
C10C,1,1,1,3
C133,0,1,1,2
C138,0,1,1,2
C3,1,1,0,2
C7,1,1,0,2
CDC121,1,1,1,3
CV94,1,1,1,3
DAR1907,1,1,1,3
ET-024,1,1,1,3
GPR20,1,1,0,2
HD33,0,1,0,1
HD43,1,1,1,3
HD66,1,1,0,2
HESN016B,0,1,1,2
HESN035b,0,1,1,2
HESN038B,0,1,0,1
HESN074B,1,1,0,2
HESN090B,0,1,1,2
hHESN103B,0,1,0,1
HUR103,1,1,1,3
I4_5,0,1,1,2
I6-23.3,1,1,0,2
IRL01,1,1,1,3
LRKNS083,1,1,0,2
MFP04,0,1,0,1
MO34,0,1,0,1
MRSE_52-2,1,1,0,2
MTCC_3382,0,1,0,1
NCCP_16828,0,1,1,2
NGS-ED-1107,1,1,1,3
NGS-ED-1110,1,1,1,3
NGS-ED-1111,1,1,1,3
NGS-ED-1118,1,1,1,3
NIH04003,1,1,0,2
NIH04008,1,1,1,3
NIH05001,1,1,1,3
NIH05003,0,1,1,2
NIH05005,1,1,1,3
NIH051475,1,1,0,2
NIH051668,1,1,1,3
NIH06004,1,1,0,2
NIH08001,1,1,0,2
NIHLM001,0,1,0,1
NIHLM003,0,1,0,1
NIHLM008,0,1,0,1
NIHLM015,0,1,0,1
NIHLM018,0,1,1,2
NIHLM020,0,1,1,2
NIHLM021,0,1,0,1
NIHLM023,0,1,0,1
NIHLM031,0,1,0,1
NIHLM037,0,1,0,1
NIHLM039,0,1,0,1
NIHLM040,0,1,1,2
NIHLM049,1,1,1,3
NIHLM053,1,1,0,2
NIHLM057,1,1,0,2
NIHLM061,1,1,0,2
NIHLM067,0,1,0,1
NIHLM070,0,1,0,1
NIHLM087,0,1,1,2
NIHLM088,0,1,0,1
NIHLM095,0,1,1,2
O47,0,1,1,2
S03,1,1,0,2
S09,1,1,0,2
S12,1,1,0,2
S19,1,1,1,3
S21,1,1,1,3
SAM-3,1,1,1,3
SE35,0,1,0,1
SE39,0,1,0,1
SE40,0,1,0,1
SE42,0,1,0,1
SE43,0,1,0,1
SE47,0,1,0,1
SE48,0,1,0,1
SE49,0,1,0,1
SE52,0,1,0,1
SE53,0,1,0,1
SE56,0,1,0,1
SE90,0,1,0,1
SE95,0,1,0,1
SESURV_p1_0557,0,1,0,1
SESURV_p1_0563,0,1,0,1
SESURV_p1_1200,0,1,0,1
SESURV_p2_0614,0,1,0,1
SESURV_p3_0825,0,1,0,1
SESURV_p3_1362,0,1,0,1
SH03_17,1,1,1,3
SH06_16,1,1,1,3
SH06_17,1,1,1,3
SH07_17,1,1,1,3
SK135,0,1,0,1
ST14,0,1,0,1
VSE3,1,1,0,2
VSE37,0,1,0,1
VSE39,0,1,0,1
VSE41,0,1,0,1
VSE43,0,1,0,1
VSE44,0,1,0,1
VSE46,0,1,0,1
VSE47,0,1,0,1
VSE54,0,1,0,1
VSE56,0,1,0,1
VSE58,0,1,0,1
