strain	gene	contig	start	end	strand	coverage_map	gaps	pct_coverage	pct_identity
1057	target_genes_ica	JMIE01000005.1	16880	21379	+	===============	0/0	100.00	99.29
12142587	target_genes_ica	AMSJ01000003.1	111671	116168	-	========/======	2/2	99.96	99.44
1457	target_genes_ica	JMID01000037.1	14349	18848	+	===============	0/0	100.00	99.98
8400	target_genes_ica	JMIF01000004.1	105168	109667	-	===============	0/0	100.00	99.98
AK-612	target_genes_ica	SKCE04000010.1	21831	26334	-	========/======	4/4	100.00	99.91
AUH4567	target_genes_ica	MVFV01000002.1	162523	167022	-	===============	0/0	100.00	99.44
C10C	target_genes_ica	JQHC01000001.1	109136	113635	-	===============	0/0	100.00	99.42
C133	target_genes_ica	JADBPI010000004.1	234614	239113	-	===============	0/0	100.00	99.73
C138	target_genes_ica	JADBPA010000049.1	9869	14368	+	===============	0/0	100.00	99.33
CDC121	target_genes_ica	CP034115.1	922401	926900	-	===============	0/0	100.00	100.00
CV94	target_genes_ica	CP013943.1	2438503	2443002	+	===============	0/0	100.00	99.44
DAR1907	target_genes_ica	CP013943.1	2438503	2443002	+	===============	0/0	100.00	99.44
ET-024	target_genes_ica	JGVL01000073.1	14079	18578	+	===============	0/0	100.00	100.00
HD43	target_genes_ica	CP040867.1	221753	226252	-	===============	0/0	100.00	99.27
HESN016B	target_genes_ica	JADCSG010000004.1	32444	36943	+	===============	0/0	100.00	99.73
HESN035b	target_genes_ica	JADCSM010000019.1	21996	26495	-	===============	0/0	100.00	99.31
HESN090B	target_genes_ica	JADCSE010000006.1	110674	115173	-	===============	0/0	100.00	99.73
HUR103	target_genes_ica	CP013943.1	2438503	2443002	+	===============	0/0	100.00	99.44
I4_5	target_genes_ica	OANX01000002.1	117983	122482	-	===============	0/0	100.00	100.00
IRL01	target_genes_ica	CP045648.1	91931	96429	+	========/======	1/1	99.98	99.42
NCCP 16828	target_genes_ica	CP043847.1	1742074	1746572	-	========/======	1/1	99.98	99.49
NGS-ED-1107	target_genes_ica	JZUO01000007.1	2536	7035	+	===============	0/0	100.00	99.44
NGS-ED-1110	target_genes_ica	JZUM01000007.1	2536	7035	+	===============	0/0	100.00	99.44
NGS-ED-1111	target_genes_ica	JZUN01000008.1	2536	7035	+	===============	0/0	100.00	99.44
NGS-ED-1118	target_genes_ica	JZUP01000028.1	2536	7035	+	===============	0/0	100.00	99.44
NIH04008	target_genes_ica	AKHF01000079.1	14671	19170	+	===============	0/0	100.00	99.44
NIH05001	target_genes_ica	AKHE01000104.1	14299	18798	-	===============	0/0	100.00	99.29
NIH05003	target_genes_ica	AKHI01000029.1	21988	26487	-	===============	0/0	100.00	100.00
NIH05005	target_genes_ica	AKHD01000035.1	14948	19447	+	===============	0/0	100.00	99.29
NIH051668	target_genes_ica	AKHK01000028.1	67698	72197	+	===============	0/0	100.00	99.44
NIHLM018	target_genes_ica	AKGY01000036.1	110891	115390	-	===============	0/0	100.00	100.00
NIHLM020	target_genes_ica	AKGW01000036.1	14783	19282	+	===============	0/0	100.00	99.98
NIHLM040	target_genes_ica	AKGR01000012.1	14691	19190	+	===============	0/0	100.00	99.67
NIHLM049	target_genes_ica	AKGQ01000050.1	204291	208790	+	===============	0/0	100.00	100.00
NIHLM087	target_genes_ica	AKGK01000057.1	180619	185118	-	===============	0/0	100.00	99.33
NIHLM095	target_genes_ica	AKGI01000025.1	156734	161233	-	===============	0/0	100.00	99.33
O47	target_genes_ica	CP040883.1	224287	228786	-	===============	0/0	100.00	99.40
S19	target_genes_ica	SNNB01000011.1	2223	6722	+	===============	0/0	100.00	99.44
S21	target_genes_ica	SNNA01000007.1	110179	114678	-	===============	0/0	100.00	100.00
SAM-3	target_genes_ica	PYFN01000003.1	126131	130630	+	===============	0/0	100.00	99.27
SH03_17	target_genes_ica	PHKH01000010.1	22029	26527	-	========/======	1/1	99.98	99.42
SH06_16	target_genes_ica	PHKI01000022.1	15309	19807	+	========/======	1/1	99.98	99.42
SH06_17	target_genes_ica	PHKN01000009.1	22029	26527	-	========/======	1/1	99.98	99.42
SH07_17	target_genes_ica	PHKM01000015.1	22029	26528	-	========/======	2/2	99.98	99.40
