Strain,Host source,host health,accession number,type,mecA,sdrG,ica_operon,total_genes_detected
SESURV_p3_1362,Skin,Healthy,GCA_011307695.1,commensal,0,1,0,1
SESURV_p1_1200,Skin,Healthy,GCA_011307595.1,commensal,0,1,0,1
SESURV_p3_0825,Skin,Healthy,GCA_011307475.1,commensal,0,1,0,1
SESURV_p2_0614,Skin,Healthy,GCA_011307235.1,commensal,0,1,0,1
SESURV_p1_0563,Skin,Healthy,GCA_011306775.1,commensal,0,1,0,1
SESURV_p1_0557,Nasal,Healthy,GCA_011306595.1,commensal,0,1,0,1
VSE43,Skin,Healthy,GCA_003956905.1,commensal,0,1,0,1
VSE44,Skin,Healthy,GCA_003980205.1,commensal,0,1,0,1
VSE46,Skin,Healthy,GCA_003956995.1,commensal,0,1,0,1
VSE47,Skin,Healthy,GCA_003956955.1,commensal,0,1,0,1
VSE54,Skin,Healthy,GCA_003956855.1,commensal,0,1,0,1
VSE56,Skin,Healthy,GCA_003980255.1,commensal,0,1,0,1
VSE58,Skin,Healthy,GCA_003957035.1,commensal,0,1,0,1
VSE37,Skin,Healthy,GCA_003956755.1,commensal,0,1,0,1
VSE39,Skin,Healthy,GCA_003956885.1,commensal,0,1,0,1
VSE41,Skin,Healthy,GCA_003956805.1,commensal,0,1,0,1
VSE3,Skin,Healthy,GCA_003979715.1,commensal,1,1,0,2
SE35,Skin,Healthy,GCA_003979795.1,commensal,0,1,0,1
SE42,Skin,Healthy,GCA_003979875.1,commensal,0,1,0,1
SE47,Skin,Healthy,GCA_003980095.1,commensal,0,1,0,1
SE49,Skin,Healthy,GCA_003979955.1,commensal,0,1,0,1
SE56,Skin,Healthy,GCA_003980185.1,commensal,0,1,0,1
SE43,Skin,Healthy,GCA_003979885.1,commensal,0,1,0,1
SE39,Nasal,Healthy,GCA_003979805.1,commensal,0,1,0,1
SE40,Nasal,Healthy,GCA_003980055.1,commensal,0,1,0,1
SE48,Nasal,Healthy,GCA_003979905.1,commensal,0,1,0,1
SE52,Nasal,Healthy,GCA_003979975.1,commensal,0,1,0,1
SE53,Nasal,Healthy,GCA_003979985.1,commensal,0,1,0,1
CDC121,Skin,Unsure,GCA_003856455.1,commensal,1,1,1,3
HD33,Skin,Diseased,GCA_006337225.1,pathogen,0,1,0,1
HD43,Skin,Diseased,GCA_006337205.1,pathogen,1,1,1,3
HD66,Skin,Diseased,GCA_006337185.1,pathogen,1,1,0,2
O47,Skin,Unsure,GCA_013317125.1,commensal,0,1,1,2
ST14,Skin,Unsure,GCA_001298115.1,commensal,0,1,0,1
SK135,Skin,Unsure,GCA_000177115.1,commensal,0,1,0,1
MO34,Skin,Unsure,GCA_009932695.1,commensal,0,1,0,1
MFP04,Skin,Unsure,GCA_014436665.1,commensal,0,1,0,1
NIHLM001,Skin,Unsure,GCA_000276145.1,commensal,0,1,0,1
NIHLM008,Skin,Unsure,GCA_000276185.1,commensal,0,1,0,1
NIHLM070,Skin,Unsure,GCA_000276485.1,commensal,0,1,0,1
