strain	gene	contig	start	end	strand	coverage	gaps	pct_coverage	pct_identity
1057	icaR	JMIE01000005.1	16918	21088	+	1-4171/4171	0/0	100.00	100.00
1057	mecA	JMIE01000020.1	18733	20846	+	1-2114/2114	0/0	100.00	99.95
1057	sdrG	JMIE01000049.1	51047	53553	+	6-2518/2796	3/12	89.56	95.55
1057	U43366.1	JMIE01000005.1	16880	21379	+	1-4500/4500	0/0	100.00	99.29
12142587	icaR	AMSJ01000003.1	111962	116130	-	1-4171/4171	2/2	99.95	99.09
12142587	sdrG	AMSJ01000031.1	50	2715	-	6-2635/2796	4/54	93.74	93.98
12142587	U43366.1	AMSJ01000003.1	111671	116168	-	1-4500/4500	2/2	99.96	99.44
1457	icaR	JMID01000037.1	14387	18557	+	1-4171/4171	0/0	100.00	99.35
1457	sdrG	JMID01000014.1	1	2507	-	6-2522/2796	4/16	89.56	95.16
1457	U43366.1	JMID01000037.1	14349	18848	+	1-4500/4500	0/0	100.00	99.98
23	mecA	RJDW01000024.1	66076	68189	-	1-2114/2114	0/0	100.00	99.95
23	sdrG	RJDW01000006.1	51588	54249	+	6-2655/2796	3/12	94.78	94.78
8400	icaR	JMIF01000004.1	105459	109629	-	1-4171/4171	0/0	100.00	99.38
8400	sdrG	JMIF01000009.1	50977	53484	+	6-2519/2796	3/12	89.59	95.59
8400	U43366.1	JMIF01000004.1	105168	109667	-	1-4500/4500	0/0	100.00	99.98
94	mecA	RJDV01000002.1	2856	4969	-	1-2114/2114	0/0	100.00	99.95
94	sdrG	RJDV01000030.1	51588	54249	+	6-2655/2796	3/12	94.78	94.78
AK-612	icaR	SKCE04000010.1	22122	26296	-	1-4171/4171	4/4	100.00	99.28
AK-612	mecA	SKCE04000039.1	453	2571	+	1-2114/2114	5/5	100.00	99.67
AK-612	sdrG	SKCE04000016.1	51046	53844	+	1-2796/2796	2/3	100.00	99.86
AK-612	U43366.1	SKCE04000010.1	21831	26334	-	1-4500/4500	4/4	100.00	99.91
AU12-03	sdrG	AMCS01000023.1	18289	21049	-	1-2796/2796	2/37	98.71	98.64
AUH4567	icaR	MVFV01000002.1	162814	166984	-	1-4171/4171	0/0	100.00	99.98
AUH4567	sdrG	MVFV01000003.1	151025	153645	-	6-2635/2796	3/15	93.63	94.87
AUH4567	U43366.1	MVFV01000002.1	162523	167022	-	1-4500/4500	0/0	100.00	99.44
C10C	icaR	JQHC01000001.1	109427	113597	-	1-4171/4171	0/0	100.00	99.95
C10C	mecA	JQHC01000039.1	11426	13539	+	1-2114/2114	0/0	100.00	99.95
C10C	sdrG	JQHC01000005.1	6	2496	-	6-2502/2796	2/12	88.98	95.48
C10C	U43366.1	JQHC01000001.1	109136	113635	-	1-4500/4500	0/0	100.00	99.42
C133	icaR	JADBPI010000004.1	234905	239075	-	1-4171/4171	0/0	100.00	99.16
C133	sdrG	JADBPI010000011.1	100	2754	-	1-2635/2796	3/20	94.24	95.59
C133	U43366.1	JADBPI010000004.1	234614	239113	-	1-4500/4500	0/0	100.00	99.73
C138	icaR	JADBPA010000049.1	9907	14077	+	1-4171/4171	0/0	100.00	99.28
C138	sdrG	JADBPA010000016.1	38894	41548	+	1-2635/2796	3/20	94.24	95.59
C138	U43366.1	JADBPA010000049.1	9869	14368	+	1-4500/4500	0/0	100.00	99.33
C3	mecA	OAOC01000004.1	173544	175657	+	1-2114/2114	0/0	100.00	99.95
C3	sdrG	OAOC01000015.1	6382	9043	-	6-2655/2796	3/12	94.78	94.78
C7	mecA	FZRF01000027.1	14138	16251	+	1-2114/2114	0/0	100.00	99.95
C7	sdrG	FZRF01000017.1	6466	9127	-	6-2655/2796	3/12	94.78	94.78
CDC121	icaR	CP034115.1	922692	926862	-	1-4171/4171	0/0	100.00	99.38
CDC121	mecA	CP034115.1	677370	679483	-	1-2114/2114	0/0	100.00	99.91
CDC121	sdrG	CP034115.1	411851	414512	-	6-2655/2796	3/12	94.78	94.82
CDC121	U43366.1	CP034115.1	922401	926900	-	1-4500/4500	0/0	100.00	100.00
CV94	icaR	CP013943.1	2438541	2442711	+	1-4171/4171	0/0	100.00	99.98
CV94	mecA	CP013943.1	2687697	2689810	+	1-2114/2114	0/0	100.00	99.95
