#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/ba-student3/bioinfo_applications_2026/Project/data/sequences_annotations/fasta/AK-612_GCA_004343675.4.fna	SKCE04000010.1	22122	26296	-	AY138959.1	1-4171/4171	========/======	4/4	100.00	99.28	target_genes_all		AY138959.1 Staphylococcus epidermidis intercellular adhesion protein IcaR (icaR) complete cds; and intercellular adhesion operon complete sequence	
/home/ba-student3/bioinfo_applications_2026/Project/data/sequences_annotations/fasta/AK-612_GCA_004343675.4.fna	SKCE04000016.1	51046	53844	+	AF245042.1	1-2796/2796	========/======	2/3	100.00	99.86	target_genes_all		AF245042.1 Staphylococcus epidermidis fibrinogen-binding protein SdrG (sdrG) gene complete cds	
/home/ba-student3/bioinfo_applications_2026/Project/data/sequences_annotations/fasta/AK-612_GCA_004343675.4.fna	SKCE04000039.1	453	2571	+	KF415244.1	1-2114/2114	========/======	5/5	100.00	99.67	target_genes_all		KF415244.1 Staphylococcus epidermidis strain TN/CN/KSE/1/13 MecA (mecA) gene complete cds	
