genome_file	contig_count
1057_GCA_000705055.1.fna	71
12142587_GCA_000304575.1.fna	81
1457_GCA_000705075.1.fna	74
23_GCA_004323085.1.fna	36
8400_GCA_000705035.1.fna	45
94_GCA_004323055.1.fna	33
AK-612_GCA_004343675.4.fna	100
AU12-03_GCA_000308395.1.fna	50
AUH4567_GCA_002156425.1.fna	53
C10C_GCA_000763625.1.fna	63
C133_GCA_015221215.1.fna	22
C138_GCA_015221365.1.fna	541
C3_GCA_900205825.1.fna	40
C7_GCA_900199615.1.fna	47
CDC121_GCA_003856455.1.fna	3
CV94_GCA_002850315.1.fna	1
DAR1907_GCA_002850315.1.fna	1
ET-024_GCA_000685135.1.fna	102
GPR20_GCA_004323075.1.fna	39
HD33_GCA_006337225.1.fna	3
HD43_GCA_006337205.1.fna	1
HD66_GCA_006337185.1.fna	3
HESN016B_GCA_015070675.1.fna	22
HESN035b_GCA_015070555.1.fna	55
HESN038B_GCA_015070585.1.fna	115
HESN074B_GCA_015070605.1.fna	30
HESN090B_GCA_015070735.1.fna	41
HESS022_GCA_015070475.1.fna	42
hHESN103B_GCA_015070395.1.fna	25
HUR103_GCA_002850315.1.fna	1
I4_5_GCA_900205815.1.fna	26
I6-23.1_GCA_900199525.1.fna	28
I6-23.2_GCA_900205845.1.fna	26
I6-23.3_GCA_900205795.1.fna	28
IRL01_GCA_009685135.1.fna	2
LRKNS083_GCA_001658835.1.fna	81
MFP04_GCA_014436665.1.fna	48
MO34_GCA_009932695.1.fna	280
MRSE 52-2_GCA_002307395.1.fna	146
MTCC 3382_GCA_001412455.1.fna	85
NCCP 16828_GCA_009769125.1.fna	2
NGS-ED-1107_GCA_000966765.1.fna	48
NGS-ED-1109_GCA_000739195.1.fna	13
NGS-ED-1110_GCA_000966815.1.fna	45
NGS-ED-1111_GCA_000966755.1.fna	44
NGS-ED-1118_GCA_000966775.1.fna	48
NIH04003_GCA_000276005.1.fna	61
NIH04008_GCA_000276085.1.fna	130
NIH05001_GCA_000276105.1.fna	174
NIH05003_GCA_000276025.1.fna	66
NIH05005_GCA_000276125.1.fna	73
NIH051475_GCA_000275965.1.fna	91
NIH051668_GCA_000275985.2.fna	73
NIH06004_GCA_000276045.1.fna	76
NIH08001_GCA_000276065.1.fna	68
NIHLM001_GCA_000276145.1.fna	87
NIHLM003_GCA_000276165.1.fna	72
NIHLM008_GCA_000276185.1.fna	45
NIHLM015_GCA_000276205.1.fna	43
NIHLM018_GCA_000276225.1.fna	64
NIHLM020_GCA_000276265.1.fna	64
NIHLM021_GCA_000276285.1.fna	72
NIHLM023_GCA_000276305.1.fna	87
NIHLM031_GCA_000276245.1.fna	64
NIHLM037_GCA_000276325.1.fna	68
NIHLM039_GCA_000276345.1.fna	66
NIHLM040_GCA_000276365.1.fna	62
NIHLM049_GCA_000276385.1.fna	56
NIHLM053_GCA_000276405.1.fna	129
NIHLM057_GCA_000276425.1.fna	104
NIHLM061_GCA_000276445.1.fna	61
NIHLM067_GCA_000276465.1.fna	51
NIHLM070_GCA_000276485.1.fna	66
NIHLM087_GCA_000276505.1.fna	72
NIHLM088_GCA_000276525.1.fna	53
NIHLM095_GCA_000276545.1.fna	39
O47_GCA_013317125.1.fna	1
S03_GCA_004376155.1.fna	369
S09_GCA_004374995.1.fna	90
S12_GCA_004374965.1.fna	97
S19_GCA_004374915.1.fna	127
S21_GCA_004374765.1.fna	77
SAM-3_GCA_003038655.1.fna	73
SE35_GCA_003979795.1.fna	135
SE39_GCA_003979805.1.fna	382
SE40_GCA_003980055.1.fna	107
SE42_GCA_003979875.1.fna	236
SE43_GCA_003979885.1.fna	390
SE47_GCA_003980095.1.fna	124
SE48_GCA_003979905.1.fna	189
SE49_GCA_003979955.1.fna	185
SE52_GCA_003979975.1.fna	206
SE53_GCA_003979985.1.fna	260
SE56_GCA_003980185.1.fna	473
SE57_GCA_003980195.1.fna	411
SE90_GCA_002749455.1.fna	3
SE95_GCA_002749515.1.fna	5
SESURV_p1_0557_GCA_011306595.1.fna	6
SESURV_p1_0563_GCA_011306775.1.fna	3
SESURV_p1_1200_GCA_011307595.1.fna	5
SESURV_p2_0614_GCA_011307235.1.fna	4
SESURV_p3_0825_GCA_011307475.1.fna	4
SESURV_p3_1362_GCA_011307695.1.fna	3
SH03_17_GCA_002799485.1.fna	70
SH06_16_GCA_002799505.1.fna	56
SH06_17_GCA_002799565.1.fna	57
SH07_17_GCA_002799425.1.fna	63
SK135_GCA_000177115.1.fna	33
ST14_GCA_001298115.1.fna	42
VSE37_GCA_003956755.1.fna	72
VSE39_GCA_003956885.1.fna	75
VSE3_GCA_003979715.1.fna	139
VSE41_GCA_003956805.1.fna	52
VSE43_GCA_003956905.1.fna	100
VSE44_GCA_003980205.1.fna	70
VSE46_GCA_003956995.1.fna	77
VSE47_GCA_003956955.1.fna	133
VSE54_GCA_003956855.1.fna	78
VSE56_GCA_003980255.1.fna	90
VSE58_GCA_003957035.1.fna	65

